round,accuracy,clean_accuracy,malicious_accuracy
1,0.8497,0.843125,0.876
2,0.84,0.837375,0.8505
3,0.9172,0.914,0.93
4,0.8749,0.8715,0.8885
5,0.8806,0.878125,0.8905
6,0.9168,0.914,0.928
7,0.9293,0.9255,0.9445
8,0.9392,0.935625,0.9535
9,0.9102,0.909625,0.9125
10,0.885,0.882625,0.8945
11,0.928,0.9265,0.934
12,0.9222,0.9205,0.929
13,0.9163,0.914875,0.922
14,0.9236,0.921625,0.9315
15,0.9204,0.9195,0.924
16,0.9057,0.904875,0.909
17,0.8916,0.89225,0.889
18,0.8782,0.878375,0.8775
19,0.7197,0.719875,0.719
20,0.8124,0.813375,0.8085
21,0.6226,0.62325,0.62
22,0.5924,0.594625,0.5835
23,0.5046,0.50725,0.494
24,0.4929,0.4945,0.4865
25,0.547,0.549375,0.5375
26,0.4791,0.481375,0.47
27,0.1704,0.17225,0.163
28,0.1021,0.103125,0.098
29,0.3771,0.378375,0.372
30,0.0975,0.098125,0.095
31,0.0988,0.0995,0.096
32,0.1558,0.15775,0.148
33,0.0974,0.098,0.095
34,0.1137,0.113,0.1165
35,0.1145,0.114,0.1165
36,0.1141,0.1135,0.1165
37,0.098,0.09725,0.101
38,0.098,0.09725,0.101
39,0.098,0.09725,0.101
40,0.098,0.09725,0.101
41,0.098,0.09725,0.101
42,0.098,0.09725,0.101
43,0.098,0.09725,0.101
44,0.098,0.09725,0.101
45,0.098,0.09725,0.101
46,0.098,0.09725,0.101
47,0.098,0.09725,0.101
48,0.098,0.09725,0.101
49,0.098,0.09725,0.101
50,0.098,0.09725,0.101
