round,accuracy,clean_accuracy,malicious_accuracy
1,0.8497,0.843125,0.876
2,0.841,0.838,0.853
3,0.905,0.9025,0.915
4,0.9028,0.9005,0.912
5,0.9172,0.9135,0.932
6,0.9152,0.911875,0.9285
7,0.9235,0.92025,0.9365
8,0.9307,0.92775,0.9425
9,0.9242,0.921,0.937
10,0.9169,0.9135,0.9305
11,0.9284,0.926125,0.9375
12,0.9284,0.925125,0.9415
13,0.9158,0.912875,0.9275
14,0.9139,0.911625,0.923
15,0.8754,0.872375,0.8875
16,0.8348,0.83525,0.833
17,0.8232,0.823625,0.8215
18,0.8288,0.828125,0.8315
19,0.6327,0.634,0.6275
20,0.7198,0.71725,0.73
21,0.4766,0.47675,0.476
22,0.3643,0.3635,0.3675
23,0.1153,0.11575,0.1135
24,0.228,0.227,0.232
25,0.1159,0.116,0.1155
26,0.2709,0.272,0.2665
27,0.0975,0.098125,0.095
28,0.0984,0.09925,0.095
29,0.1171,0.117,0.1175
30,0.1155,0.115125,0.117
31,0.1136,0.113,0.116
32,0.1135,0.112875,0.116
33,0.1138,0.11325,0.116
34,0.1138,0.11325,0.116
35,0.1135,0.112875,0.116
36,0.1135,0.112875,0.116
37,0.1135,0.112875,0.116
38,0.098,0.09725,0.101
39,0.098,0.09725,0.101
40,0.098,0.09725,0.101
41,0.098,0.09725,0.101
42,0.098,0.09725,0.101
43,0.098,0.09725,0.101
44,0.098,0.09725,0.101
45,0.098,0.09725,0.101
46,0.098,0.09725,0.101
47,0.098,0.09725,0.101
48,0.098,0.09725,0.101
49,0.098,0.09725,0.101
50,0.098,0.09725,0.101
