round,accuracy,clean_accuracy,malicious_accuracy
1,0.6408,0.635375,0.6625
2,0.8407,0.837125,0.855
3,0.8731,0.869875,0.886
4,0.8924,0.888875,0.9065
5,0.9075,0.90375,0.9225
6,0.9035,0.9015,0.9115
7,0.8942,0.891125,0.9065
8,0.9354,0.93175,0.95
9,0.9296,0.92775,0.937
10,0.9147,0.913625,0.919
11,0.9009,0.89975,0.9055
12,0.7521,0.749625,0.762
13,0.7864,0.7865,0.786
14,0.7071,0.7065,0.7095
15,0.4942,0.497,0.483
16,0.4187,0.423,0.4015
17,0.3808,0.382,0.376
18,0.412,0.413375,0.4065
19,0.2295,0.2305,0.2255
20,0.1478,0.148375,0.1455
21,0.0974,0.098,0.095
22,0.1022,0.103,0.099
23,0.1308,0.13125,0.129
24,0.1141,0.113625,0.116
25,0.1135,0.112875,0.116
26,0.1136,0.112875,0.1165
27,0.1135,0.112875,0.116
28,0.1135,0.112875,0.116
29,0.1136,0.113,0.116
30,0.098,0.09725,0.101
31,0.098,0.09725,0.101
32,0.098,0.09725,0.101
33,0.098,0.09725,0.101
34,0.098,0.09725,0.101
35,0.098,0.09725,0.101
36,0.098,0.09725,0.101
37,0.098,0.09725,0.101
38,0.098,0.09725,0.101
39,0.098,0.09725,0.101
40,0.098,0.09725,0.101
41,0.098,0.09725,0.101
42,0.098,0.09725,0.101
43,0.098,0.09725,0.101
44,0.098,0.09725,0.101
45,0.098,0.09725,0.101
46,0.098,0.09725,0.101
47,0.098,0.09725,0.101
48,0.098,0.09725,0.101
49,0.098,0.09725,0.101
50,0.098,0.09725,0.101
